2 2
3 5
4 2^2.3
5 29
6 2.5.7
7 13^2
8 2^3.3.17
9 5.197
10 2.29.41
11 5741
12 2^2.3^2.5.7.11
13 33461
14 2.13^2.239
15 5^2.29.269
16 2^4.3.17.577
17 137.8297
18 2.5.7.197.199
19 37.179057
20 2^2.3.19.29.41.59
21 5.13^2.45697
22 2.23.353.5741
23 229.982789
24 2^3.3^2.5.7.11.17.1153
25 29.1549.29201
26 2.79.599.33461
27 5.53.197.146449
28 2^2.3.13^2.113.239.337
29 44560482149
30 2.5^2.7.29.31^2.41.269
31 61.1301.3272609
32 2^5.3.17.577.665857
33 5.5741.52734529
34 2.103.137.8297.15607
35 13^2.29.1800193921
36 2^2.3^3.5.7.11.73.179.197.199
37 593.78737.1101341
38 2.37.179057.9369319
39 5.389.33461.4605197
40 2^3.3.17.19.29.41.59.241.5521
41 1746860020068409
42 2.5.7^2.13^2.239.4663.45697
43 11437.890220016097
44 2^2.3.23.43.89.353.5741.11483
45 5^2.29.197.269.6481.238321
46 2.47.229.982789.6771937
47 3761.91962100830401
48 2^4.3^2.5.7.11.17.97.577.1153.13729
49 13^2.293.40710764977973
50 2.29.41.1549.29201.45245801
51 5.101.137.8297.20468307053
52 2^2.3.79.599.22307.33461.66923
53 68480406462161287469
54 2.5.7.53.197.199.146449.7761799
55 29.109.5741.183041.120159269
56 2^3.3.13^2.17.113.239.337.1535466241
57 5.37.179057.1311797.53535197
58 2.44560482149.63018038201
59 13558774610046711780701
60 2^2.3^2.5^2.7.11.19.29.31^2.41.59.269.601.2281
61 853.19062257.4860136428481
62 2.61.1301.424577.865087.3272609
63 5.13^2.197.45697.198701.304728101
64 2^6.3.17.257.577.1409.665857.2448769
65 29.521.1949.33461.804829.3385201
66 2.5.7.23.353.5741.37667521.52734529
67 4289.3648126404899433465221
68 2^2.3.67.103.137.8297.15607.33931.757793
69 5.229.982789.81042255829535617
70 2.13^2.29.41.71.239.17934071.1800193921
71 569.2644939853.353183656631413
72 2^3.3^3.5.7.11.17.73.179.197.199.1009.1153.1523089
73 1873724873.1653385841290367057
74 2.223.593.37223.78737.1101341.8761009
75 5^3.29.149.269.1549.29201.1371001.2004001
76 2^2.3.37.227.379.19457.34961.179057.9369319
77 13^2.5741.23869.41117.110523055197017
78 2.5.7.79.313.389.599.33461.4088137.4605197
79 157.7741.1735683721.290781543899617
80 2^4.3.17.19.29.41.59.241.577.5521.188801.9393281
81 5.53.197.10853.146449.244781.176018980229
82 2.2297.302663.3553471.1746860020068409
83 1993.10455133697821667700137617517
84 2^2.3^2.5.7^2.11.13^2.83.113.239.251.337.4663.45697.75937
85 29.137.3229.8297.65789.5293801.3276118961
86 2.11437.19609.153511.4783321.890220016097
87 5.173.20357.41761.21601752001.44560482149
88 2^3.3.17.23.43.89.353.2113.5741.11483.967724510017
89 4125636888562548868221559797461449
90 2.5^2.7.29.31^2.41.197.199.269.6481.238321.1529035201
91 13^3.181.33461.1807152590055509778144337
92 2^2.3.47.229.643.700027.982789.6771937.150039121
93 5.61.1301.5021.3272609.21494743413605524661
94 2.3761.91962100830401.489133282872437279
95 29.37.179057.4251616538680786713636125761
96 2^5.3^2.5.7.11.17.97.193.577.1153.13729.665857.9188923201
