2016-10-05 2329!-1 2735422370699 SAI, b1=10000
2016-10-05 2329!+1 1575262842568553 SAI, b1=10000
2016-10-05 2330!+1 1112166123550371011 SAI, b1=10000
2016-10-05 2332!-1 5518697150968041181 SAI, b1=10000
2016-10-05 2338!-1 22868590742969 SAI, b1=10000
2016-10-05 2341!+1 33307754923194877245011 SAI, b1=10000
2016-10-06 2342!+1 17014904722761406679 SAI, b1=10000
2016-10-06 2343!-1 34129076318155776691 SAI, b1=10000
2016-10-06 2345!-1 7452645602003377 SAI, b1=10000
2016-10-06 2345!-1 9530667262090441 SAI, b1=10000
2016-10-06 2346!-1 21404612861171 SAI, b1=10000
2016-10-06 2347!+1 239836751624149 SAI, b1=10000
2016-10-06 2347!+1 7982085357379403 SAI, b1=10000
2016-10-06 2351!+1 948417697697104433 SAI, b1=10000
2016-10-06 2352!-1 25745281274364397 SAI, b1=10000
2016-10-06 2355!+1 127474581052813 SAI, b1=10000
2016-10-06 2356!+1 7744463090603 SAI, b1=10000
2016-10-06 2358!+1 13863589900678301449 SAI, b1=10000
2016-10-06 2358!+1 482265553470297886591 SAI, b1=10000
2016-10-06 2359!-1 3800516088953 SAI, b1=10000
2016-10-06 2359!-1 1580528157712389341 SAI, b1=10000
2016-10-06 2361!-1 6931180194667 SAI, b1=10000
2016-10-06 2362!-1 334885442205239957 SAI, b1=10000
2016-10-07 2363!+1 707336042891998547 SAI, b1=10000
2016-10-07 2364!+1 1175038083576811 SAI, b1=10000
2016-10-07 2365!+1 16566406677773296231 SAI, b1=10000
2016-10-07 2368!-1 12612603145001 SAI, b1=10000
2016-10-07 2369!+1 267799613479815929 SAI, b1=10000
2016-10-07 2372!-1 2284435069051 SAI, b1=10000
2016-10-07 2372!-1 5528832155516919251 SAI, b1=10000
2016-10-07 2373!-1 49544382493548686173 SAI, b1=10000
2016-10-07 2373!+1 3022890261176389493 SAI, b1=10000
2016-10-07 2374!+1 24240277700436079 SAI, b1=10000
2016-10-07 2376!-1 1370330159747503 SAI, b1=10000
2016-10-07 2376!-1 963267517370726627 SAI, b1=10000
2016-10-07 2378!-1 1841808176952940159 SAI, b1=10000
2016-10-07 2380!+1 956352704322558900559 SAI, b1=10000
2016-10-07 2381!-1 42764398814424817009 SAI, b1=10000
2016-10-07 2383!-1 350714788689143768173 SAI, b1=10000
2016-10-07 2383!+1 2482420210514377541 SAI, b1=10000
2016-10-07 2386!+1 94396987601339 SAI, b1=10000
2016-10-07 2388!-1 200244442425667 SAI, b1=10000
2016-10-07 2389!+1 111995839847719 SAI, b1=10000
2016-10-08 2392!+1 5877527937569 SAI, b1=10000
2016-10-08 2393!+1 27367937302058829671942473882829 SAI, b1=10000
2016-10-08 2395!+1 73339967658283 SAI, b1=10000
2016-10-08 2396!-1 22753531297187 SAI, b1=10000
2016-10-08 2397!-1 256462146519793 SAI, b1=10000
2016-10-08 2398!+1 242999472504905264119 SAI, b1=10000
2016-10-08 2399!+1 1601298671830127 SAI, b1=10000
2016-10-08 2399!+1 P SAI
2016-11-02 235!+1 567948596848435899241722193145731471100203 SAI, b1=11e6, sigma=3491764288
2016-11-11 236!+1 739821197176038840574980536192977618889 SAI, b1=11e6, sigma=92635823
2016-11-11 236!+1 P SAI
2016-12-13 130!+1 25816673217047224323655324378605528703709724392983792843249 SAI, b1=850e6, sigma=248971003
2016-12-13 130!+1 P SAI
2016-12-23 232!-1 40295661390692407657000392249096395946808549 SAI, b1=11e6, sigma=331127096
